question,label
가정 탄소중립 실천 방법 뭐야,S-CATEGORY O O O O
가정 탄소중립 실천 방법 뭐임,S-CATEGORY O O O O
가정 탄소중립 실천 방법 뭐예요,S-CATEGORY O O O O
가정 탄소중립 실천 방법 뭘까요,S-CATEGORY O O O O
가정 탄소중립 실천 방법 뭘까,S-CATEGORY O O O O
가정 탄소중립 실천 방법 뭔지 알려줘,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 뭔지 알려줘봐,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 뭔지 알려줘봐라,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 뭔지 알려주세요,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 뭔지 알려줘봐요,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 뭔지 알려줘요,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 뭔지 알려주십쇼,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 가르쳐줘,S-CATEGORY O O O O
가정 탄소중립 실천 방법 가르쳐주셈,S-CATEGORY O O O O
가정 탄소중립 실천 방법 가르쳐주세요,S-CATEGORY O O O O
가정 탄소중립 실천 방법 가르쳐줘봐요,S-CATEGORY O O O O
가정 탄소중립 실천 방법 가르쳐줘보셈,S-CATEGORY O O O O
가정 탄소중립 실천 방법 뭥미,S-CATEGORY O O O O
가정 탄소중립 실천 방법 추천좀,S-CATEGORY O O O O
가정 탄소중립 실천 방법 추천해봐,S-CATEGORY O O O O
가정 탄소중립 실천 방법 추천해봐요,S-CATEGORY O O O O
가정 탄소중립 실천 방법 추천해주세요,S-CATEGORY O O O O
가정 탄소중립 실천 방법 추천해주셈,S-CATEGORY O O O O
가정 탄소중립 실천 방법 추천해줘,S-CATEGORY O O O O
가정 탄소중립 실천 방법 추천해줄래,S-CATEGORY O O O O
가정 탄소중립 실천 방법 추천 ㄱㄱ,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 추천 부탁해,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 추천 부탁해요,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 추천 부탁합니다,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 추천 부탁함,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 추천 부탁할게,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 추천 부탁해주세요,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 추천 부탁,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 추천 부탁요,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 추천 고고,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 알려주삼 ㅎㅎ,S-CATEGORY O O O O O
가정 탄소중립 실천 방법 알려줘 ㅎㅎ,S-CATEGORY O O O O O
