question,label
ESG 뜻,S-ECO O
ESG 뜻 뭐야,S-ECO O O
ESG 알려줘,S-ECO O
ESG 단어 알려줘,S-ECO O O
ESG 용어 알려줘,S-ECO O O
ESG 아니,S-ECO O
ESG 아냐,S-ECO O
ESG 알아,S-ECO O
ESG 가르쳐줘,S-ECO O
ESG 의미 뭐야,S-ECO O O
ESG 의미,S-ECO O
ESG 뭔지 알려줘,S-ECO O O
ESG 무엇인지 알려줘,S-ECO O O
ESG 무슨 뜻,S-ECO O O
ESG 뭐야,S-ECO O
ESG 뭘까,S-ECO O
ESG 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
ESG 알고싶어,S-ECO O
ESG 뜻 알려주세요,S-ECO O O
그럼 ESG 무슨 뜻,O S-ECO O O
그럼 ESG 알려줘,O S-ECO O
그럼 ESG 뜻 알려주라,O S-ECO O O
그럼 ESG 알려줄래,O S-ECO O
그럼 ESG 알고싶어,O S-ECO O
아니 ESG 뭐냐고,O S-ECO O
아니 ESG 알려줘,O S-ECO O
아 ESG 뜻 알려줘,O S-ECO O O
ESG 무슨 말이야,S-ECO O O
ESG 뭐임,S-ECO O
ESG 가르쳐주세요,S-ECO O
ESG 가르쳐줄래,S-ECO O
음 ESG 알고싶어 ㅋㅋ,O S-ECO O O
ESG 알려줄 수 있니,S-ECO O O O
ESG 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
ESG 뭐니 ㅋㅋㅋ,S-ECO O O
ESG 뭐지,S-ECO O
있잖아 ESG 뭐야,O S-ECO O
있잖아 ESG 알려줘,O S-ECO O
있잖아 ESG 가르쳐줘,O S-ECO O
있잖아 ESG 가르쳐줄래,O S-ECO O
있잖아 ESG 뜻 알려줘,O S-ECO O O
있잖아 ESG 의미 알려줘,O S-ECO O O
저기 ESG 알려줄래,O S-ECO O
저기 ESG 뜻 알려줘,O S-ECO O O
저기 ESG 뭐야,O S-ECO O
저기 ESG 뜻 가르쳐줘,O S-ECO O O
ESG 뭐예요,S-ECO O
ESG 뜻 뭐죠,S-ECO O O
ESG 뭔가요,S-ECO O
ESG 알려주삼,S-ECO O
탄소중립 뜻,S-ECO O
탄소중립 뜻 뭐야,S-ECO O O
탄소중립 알려줘,S-ECO O
탄소중립 단어 알려줘,S-ECO O O
탄소중립 용어 알려줘,S-ECO O O
탄소중립 아니,S-ECO O
탄소중립 아냐,S-ECO O
탄소중립 알아,S-ECO O
탄소중립 가르쳐줘,S-ECO O
탄소중립 의미 뭐야,S-ECO O O
탄소중립 의미,S-ECO O
탄소중립 뭔지 알려줘,S-ECO O O
탄소중립 무엇인지 알려줘,S-ECO O O
탄소중립 무슨 뜻,S-ECO O O
탄소중립 뭐야,S-ECO O
탄소중립 뭘까,S-ECO O
탄소중립 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
탄소중립 알고싶어,S-ECO O
탄소중립 뜻 알려주세요,S-ECO O O
그럼 탄소중립 무슨 뜻,O S-ECO O O
그럼 탄소중립 알려줘,O S-ECO O
그럼 탄소중립 뜻 알려주라,O S-ECO O O
그럼 탄소중립 알려줄래,O S-ECO O
그럼 탄소중립 알고싶어,O S-ECO O
아니 탄소중립 뭐냐고,O S-ECO O
아니 탄소중립 알려줘,O S-ECO O
아 탄소중립 뜻 알려줘,O S-ECO O O
탄소중립 무슨 말이야,S-ECO O O
탄소중립 뭐임,S-ECO O
탄소중립 가르쳐주세요,S-ECO O
탄소중립 가르쳐줄래,S-ECO O
음 탄소중립 알고싶어 ㅋㅋ,O S-ECO O O
탄소중립 알려줄 수 있니,S-ECO O O O
탄소중립 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
탄소중립 뭐니 ㅋㅋㅋ,S-ECO O O
탄소중립 뭐지,S-ECO O
있잖아 탄소중립 뭐야,O S-ECO O
있잖아 탄소중립 알려줘,O S-ECO O
있잖아 탄소중립 가르쳐줘,O S-ECO O
있잖아 탄소중립 가르쳐줄래,O S-ECO O
있잖아 탄소중립 뜻 알려줘,O S-ECO O O
있잖아 탄소중립 의미 알려줘,O S-ECO O O
저기 탄소중립 알려줄래,O S-ECO O
저기 탄소중립 뜻 알려줘,O S-ECO O O
저기 탄소중립 뭐야,O S-ECO O
저기 탄소중립 뜻 가르쳐줘,O S-ECO O O
탄소중립 뭐예요,S-ECO O
탄소중립 뜻 뭐죠,S-ECO O O
탄소중립 뭔가요,S-ECO O
탄소중립 알려주삼,S-ECO O
탄소발자국 뜻,S-ECO O
탄소발자국 뜻 뭐야,S-ECO O O
탄소발자국 알려줘,S-ECO O
탄소발자국 단어 알려줘,S-ECO O O
탄소발자국 용어 알려줘,S-ECO O O
탄소발자국 아니,S-ECO O
탄소발자국 아냐,S-ECO O
탄소발자국 알아,S-ECO O
탄소발자국 가르쳐줘,S-ECO O
탄소발자국 의미 뭐야,S-ECO O O
탄소발자국 의미,S-ECO O
탄소발자국 뭔지 알려줘,S-ECO O O
탄소발자국 무엇인지 알려줘,S-ECO O O
탄소발자국 무슨 뜻,S-ECO O O
탄소발자국 뭐야,S-ECO O
탄소발자국 뭘까,S-ECO O
탄소발자국 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
탄소발자국 알고싶어,S-ECO O
탄소발자국 뜻 알려주세요,S-ECO O O
그럼 탄소발자국 무슨 뜻,O S-ECO O O
그럼 탄소발자국 알려줘,O S-ECO O
그럼 탄소발자국 뜻 알려주라,O S-ECO O O
그럼 탄소발자국 알려줄래,O S-ECO O
그럼 탄소발자국 알고싶어,O S-ECO O
아니 탄소발자국 뭐냐고,O S-ECO O
아니 탄소발자국 알려줘,O S-ECO O
아 탄소발자국 뜻 알려줘,O S-ECO O O
탄소발자국 무슨 말이야,S-ECO O O
탄소발자국 뭐임,S-ECO O
탄소발자국 가르쳐주세요,S-ECO O
탄소발자국 가르쳐줄래,S-ECO O
음 탄소발자국 알고싶어 ㅋㅋ,O S-ECO O O
탄소발자국 알려줄 수 있니,S-ECO O O O
탄소발자국 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
탄소발자국 뭐니 ㅋㅋㅋ,S-ECO O O
탄소발자국 뭐지,S-ECO O
있잖아 탄소발자국 뭐야,O S-ECO O
있잖아 탄소발자국 알려줘,O S-ECO O
있잖아 탄소발자국 가르쳐줘,O S-ECO O
있잖아 탄소발자국 가르쳐줄래,O S-ECO O
있잖아 탄소발자국 뜻 알려줘,O S-ECO O O
있잖아 탄소발자국 의미 알려줘,O S-ECO O O
저기 탄소발자국 알려줄래,O S-ECO O
저기 탄소발자국 뜻 알려줘,O S-ECO O O
저기 탄소발자국 뭐야,O S-ECO O
저기 탄소발자국 뜻 가르쳐줘,O S-ECO O O
탄소발자국 뭐예요,S-ECO O
탄소발자국 뜻 뭐죠,S-ECO O O
탄소발자국 뭔가요,S-ECO O
탄소발자국 알려주삼,S-ECO O
탄소배출권 뜻,S-ECO O
탄소배출권 뜻 뭐야,S-ECO O O
탄소배출권 알려줘,S-ECO O
탄소배출권 단어 알려줘,S-ECO O O
탄소배출권 용어 알려줘,S-ECO O O
탄소배출권 아니,S-ECO O
탄소배출권 아냐,S-ECO O
탄소배출권 알아,S-ECO O
탄소배출권 가르쳐줘,S-ECO O
탄소배출권 의미 뭐야,S-ECO O O
탄소배출권 의미,S-ECO O
탄소배출권 뭔지 알려줘,S-ECO O O
탄소배출권 무엇인지 알려줘,S-ECO O O
탄소배출권 무슨 뜻,S-ECO O O
탄소배출권 뭐야,S-ECO O
탄소배출권 뭘까,S-ECO O
탄소배출권 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
탄소배출권 알고싶어,S-ECO O
탄소배출권 뜻 알려주세요,S-ECO O O
그럼 탄소배출권 무슨 뜻,O S-ECO O O
그럼 탄소배출권 알려줘,O S-ECO O
그럼 탄소배출권 뜻 알려주라,O S-ECO O O
그럼 탄소배출권 알려줄래,O S-ECO O
그럼 탄소배출권 알고싶어,O S-ECO O
아니 탄소배출권 뭐냐고,O S-ECO O
